Studenten&Parkplatz? Gebaue&L Gebäude&A Gebäude&I
In&welcher&Straße&befindet&sich&die&Festhalle? Gerwigstraße Robert-Gerwig-Platz Friedrichstraße
Skripte&kaufen? Cafeteria Aula Magazin
Lernplattform&der&HFU? Eclipse LaTeX FELIX
Vorlesungspläne&der&Studiengänge? Mensa&Speiseplan Im&Language&Center HFU&Webseite->Quicklinks
Tutor? Hausmeister Putzfrau Student&aus&höherem&Semester
ein Byte? 16&bit 4&bit 8&bit
Zahl&"0011d"? 11 0,011 3
Zahlensystem? C hekta Hex
Zahlensystem? Kanonische Basis log Binär 
Zahl&pi? 512 31,4 3,14
AStA? Allgemainer&Softwareausschuss Alle&sind&total&allein Allgemeiner&Studierendenausschuss
Wann&war&das&40&jährige&Jubiläum&der&Fakultät&Wirtschaftsinformatik? 2002 2010 2012
Wo&befindet&sich&der&Standort&der&HFU&in&Furtwangen? Robert-Gerwig-Platz&1  Jakob-Kienzle-Str.&17 Kronenstraße&16
Wie&viele&Fakultäten&hat&die&HFU? 15 25 9
Wie&viele&Profesoren&gibt&es&in&der&HFU? 100 105 150
Wie&viel&Studiengänge&hat&die&HFU&in&englischer&Sprache 5 10 6
Wann&entstand&der&Studiengang&Allgemeine&Informatik 1975 2001 1971
Textbearbeitungssoftware Eclipse Visual&Studio Latex
Tabellenbearbeitungssoftware Eclipse Latex Excel
Magazin C&2.04 A&1.05 B&1.03
Mensa&Essenspreis 5.30€ 3.45€ 2.65€
Anzahl&Fakultäten 12 35 8
Eröffnung&Standort&Tuttlingen 2005 1987 2009
Studierendenanzahl&Furtwangen ca.&1500 ca.&5000 ca.&3000
Slogan:&Studieren... ...mit&Begeisterung ...auf&niedrigem&Niveau ...auf&höchstem&Niveau
Cafeteria C-Bau E-Bau A-Bau
Studierendenausweis HS-Card ID-Card F-Card
Standort&HS&Furtwangen Freiburg Donaueschingen Tuttlingen
Standort&HS&Furtwangen Stuttgart Triberg Villingen-Schwenningen
TREFFER&Einführungswochen TREFFER-Workshop TREFFER-Training INside
Mentorenprogramm&TREFFER TREFFER-Mentoring INSide-Mentoren Mentoring4U
Eingabegerät Bildschirm Drucker Maus
Ausgabegerät Scanner Tastatur Bildschirm
Startvorgang&eine&Computers Loading Scannen Booten
1&Megabyte 1024&Kbit 1024&Byte 1024&KByte
Computerperipherie DVD VHS  Festplatte
Zentrale&Recheneinheit Motherboard GPU CPU
Kleinstmögliche&Informationseinheit Byte Pixel Bit
Browser Eclipse Microsoft&Explorer Netscape
DVD Digital&Video&Data Digital&Video&Disc Digital&Versatile&Disc
Erfinder&des&modernen&Computers Konrad&Adenauer Gerhard&Schröder Konrad&Zuse
Trigonometrie Wurzel Linux Sinus
Rationale&Zahlen R Z Q
Bit-Umrechnung:&1000 7 1,000 8
Grundrechenart Potenz Wurzel Multiplikation
a^0= a 1 0
Linux&Erfinder Bill&Gates Steve&Jobs Linus&Torvalds
Betriebssystem Java Microsoft Linux
Dekan&Fakultät&IN Fleischer Schofer Rezagholi
Studiendekan&IN Rezagholi Frank Fleischer
Lernplattform Felix FehlX FELIX
Virtualisierungssoftware Unix Solaris VirtualBox
Linux Mac&OS Unix Ubuntu
Sekretariat B-Bau C-Bau A-Bau
Entwicklungsumgebung Eclipse JVM C++
Terminal-Befehl for printf ls
Informatikpionier Einstein Gauss Turing
Arithmetischer&Operator int if %
Gleitkommazahl int char float
8&bit Kilobit Kilobyte Byte
TREFFER-Büro A-Bau O-Bau B-Bau
Mathematik&Workshop Wahl Fleischer Kettern
IN-Workshop Kettern Fleischer Wahl
Semesteranzahl 5  10 7
Anzahl&der&INside-Wochen 6 3 2
Texteditor Terminal C vi
Studierendenanzahl ca.&10000 ca.&2500 ca.&5500
RAM Read&Only&Memory Raus&aus&Marburg Random&Access&Memory
Topologien Drache Auto Ring
512Mbit&in&Megabyte 512&Megabyte 32&Megabyte 64&Megabyte
Kerne&in&Dualcore 4 8 2
Datenmenge&Blu-Ray 4,78&Gigabyte 15&Gigabyte 25&Gigabyte
USB&3.0&Datenrate 40&MByte/s 10&KByte/s 600&MByte/s
Faktor&Mega 10&Hoch&12 10&Hoch&10 10&Hoch&6
Faktor&Peta 10&Hoch&3 10&Hoch&20 10&Hoch&15
Erfolgreichster&PC Windows&98 Atari&2600 Commodore&64  
VGA Standart 240x128&Pixel 256x224&Pixel 640x480&Pixel
AGP Augmented&Great&Person Antistatic&General&Profi Accelerated&Graphics&Port
Erste&CD-ROM-Laufwerke 1993 2003 1985
Erstes&Internet CERN WWW ARPANET
